Lipid_name,full_smiles,Amine,Tail,amine_filled,tail_filled,amine_corrected,fill_confidence,fill_tanimoto,fill_note
A1_B5_C3,CCCCCCC/C=C\C(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCCCC,CN(C)CCN,CCCCCCC\C=CC(=O)OCCCCCC=O,False,False,False,,,
A1_B6_C3,CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B7_C3,C#CCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCCCC,CN(C)CCN,C#CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B8_C3,C=CCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCCCC,CN(C)CCN,C=CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B9_C3,CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B10_C3,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCCCC,CN(C)CCN,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B11_C3,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCCCC,CN(C)CCN,CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B12_C3,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCCCC,CN(C)CCN,CCCCCC=CCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B1_C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B2_C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCN(C)C,CN(C)CCN,CCCCCC(C)CCC(=O)OCCCCCC=O,False,False,False,,,
A1_B3_C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B4_C4,CCCCCCC/C=C/C(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCCCCCC,CN(C)CCN,CCCCCCC/C=CC(=O)OCCCCCC=O,False,False,False,,,
A1_B5_C4,CCCCCCC/C=C\C(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCCCCCC,CN(C)CCN,CCCCCCC\C=CC(=O)OCCCCCC=O,False,False,False,,,
A1_B6_C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B7_C4,C#CCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCCCCCC,CN(C)CCN,C#CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B8_C4,C=CCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCCCCCC,CN(C)CCN,C=CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B9_C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B10_C4,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B11_C4,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCCCCCC,CN(C)CCN,CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B12_C4,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCCCCCC,CN(C)CCN,CCCCCC=CCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B1_C5,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
